cvssid,level,score,attack
10ac7c48-6657-11ec-b69c-5c80b610a170,高危,7.8,本地
10ad4016-6657-11ec-a278-5c80b610a170,高危,7.8,本地
10ae0342-6657-11ec-bd16-5c80b610a170,中危,5.4,网络
10af14af-6657-11ec-9efb-5c80b610a170,中危,6.7,本地
10afd801-6657-11ec-aa2f-5c80b610a170,高危,8.6,网络
10b09b5c-6657-11ec-8cdd-5c80b610a170,中危,6.7,本地
10b18437-6657-11ec-bd7f-5c80b610a170,高危,8.6,网络
10b2971e-6657-11ec-ab03-5c80b610a170,高危,7.7,网络
10b3a8a7-6657-11ec-972e-5c80b610a170,中危,6.6,物理
10b4b8ae-6657-11ec-9030-5c80b610a170,高危,7.4,邻接
10b5a469-6657-11ec-bf0b-5c80b610a170,高危,8.6,网络
10b6b5dd-6657-11ec-9006-5c80b610a170,中危,6.7,本地
10b7c746-6657-11ec-8cd3-5c80b610a170,高危,7.5,网络
10b8ca66-6657-11ec-8cd4-5c80b610a170,高危,7.5,网络
10b98d9e-6657-11ec-8c30-5c80b610a170,高危,7.8,本地
10ba50ea-6657-11ec-a765-5c80b610a170,高危,7.7,网络
10bb3b6e-6657-11ec-950a-5c80b610a170,高危,7.4,邻接
10bc25ac-6657-11ec-bdb4-5c80b610a170,高危,7.2,网络
10bd3702-6657-11ec-865e-5c80b610a170,中危,6.7,本地
10be6f77-6657-11ec-a4fe-5c80b610a170,中危,6.5,邻接
10bf8116-6657-11ec-a292-5c80b610a170,高危,8.6,网络
10c06b78-6657-11ec-bb92-5c80b610a170,高危,7.2,网络
10c17cdc-6657-11ec-9d9c-5c80b610a170,中危,6.7,本地
10c2b571-6657-11ec-ac99-5c80b610a170,中危,4.6,物理
10c39fbc-6657-11ec-94b1-5c80b610a170,中危,6.7,本地
10c4630e-6657-11ec-b5ab-5c80b610a170,中危,6.0,本地
10c52669-6657-11ec-8b01-5c80b610a170,高危,7.8,本地
10c5e9ac-6657-11ec-8a55-5c80b610a170,高危,7.5,网络
10c6fb1d-6657-11ec-9719-5c80b610a170,中危,6.5,网络
10c80c92-6657-11ec-911d-5c80b610a170,高危,7.5,网络
10c8f6c8-6657-11ec-bb6b-5c80b610a170,高危,7.5,网络
10c9ba16-6657-11ec-940a-5c80b610a170,高危,7.8,本地
10ca7d6c-6657-11ec-ad31-5c80b610a170,高危,8.6,网络
10cb40b4-6657-11ec-8d7c-5c80b610a170,高危,7.8,本地
10cc2b3e-6657-11ec-b859-5c80b610a170,高危,7.8,本地
10ccee96-6657-11ec-8227-5c80b610a170,中危,6.0,本地
10cdb1de-6657-11ec-9ea5-5c80b610a170,高危,7.4,邻接
10ce752c-6657-11ec-b99e-5c80b610a170,高危,7.4,邻接
10cf387c-6657-11ec-905e-5c80b610a170,高危,7.4,邻接
10cffbcd-6657-11ec-b4fe-5c80b610a170,高危,8.6,网络
10d1341d-6657-11ec-941d-5c80b610a170,高危,7.4,邻接
10d1f784-6657-11ec-a5e6-5c80b610a170,高危,7.4,邻接
10d2e1dc-6657-11ec-8298-5c80b610a170,高危,8.6,网络
10d37e09-6657-11ec-bdd6-5c80b610a170,高危,8.6,网络
10d44158-6657-11ec-9fb6-5c80b610a170,中危,6.6,物理
10d552ff-6657-11ec-8c07-5c80b610a170,高危,7.5,网络
10d6164c-6657-11ec-aa22-5c80b610a170,高危,8.6,网络
10d6d99d-6657-11ec-ac55-5c80b610a170,高危,7.5,网络
10d7eb0d-6657-11ec-b86c-5c80b610a170,高危,7.4,邻接
10d8ae5e-6657-11ec-8833-5c80b610a170,高危,7.5,网络
10d971ae-6657-11ec-bf54-5c80b610a170,高危,7.5,网络
10da5c21-6657-11ec-b0ab-5c80b610a170,高危,7.4,邻接
10db1f59-6657-11ec-b1f0-5c80b610a170,高危,7.4,邻接
10dc30af-6657-11ec-8aa5-5c80b610a170,中危,4.9,网络
10dd421e-6657-11ec-bf59-5c80b610a170,高危,7.5,网络
10de0562-6657-11ec-bb02-5c80b610a170,中危,6.5,网络
10df16eb-6657-11ec-8b83-5c80b610a170,中危,6.5,网络
10e00135-6657-11ec-9d57-5c80b610a170,中危,6.7,本地
10e0eba2-6657-11ec-8c69-5c80b610a170,中危,6.5,网络
10e1fd08-6657-11ec-ac01-5c80b610a170,高危,7.2,网络
10e2e762-6657-11ec-b493-5c80b610a170,高危,8.6,网络
10e3d1f5-6657-11ec-a0ae-5c80b610a170,中危,6.5,邻接
10e4953d-6657-11ec-ae30-5c80b610a170,高危,8.6,网络
10e5588d-6657-11ec-bb8e-5c80b610a170,中危,6.5,网络
10e642e1-6657-11ec-8772-5c80b610a170,高危,8.6,网络
